feature,avg_ks,max_ks,min_ks,diagnosis
final_train_loss,0.574,0.668,0.28,PARTIAL SIGNAL
final_val_loss,0.5146666666666667,0.668,0.34,PARTIAL SIGNAL
final_train_acc,0.5559999999999999,0.668,0.256,PARTIAL SIGNAL
final_val_acc,0.49733333333333335,0.668,0.292,PARTIAL SIGNAL
loss_gap,0.5806666666666666,0.964,0.1,ONE-CLASS FINGERPRINT
acc_gap,0.5539999999999999,0.948,0.156,PARTIAL SIGNAL
overfit_score,0.5539999999999999,0.948,0.156,PARTIAL SIGNAL
val_loss_trend,0.5553333333333333,0.676,0.288,PARTIAL SIGNAL
train_loss_trend,0.4000000000000001,0.632,0.176,PARTIAL SIGNAL
loss_volatility,0.44,0.656,0.164,PARTIAL SIGNAL
acc_volatility,0.324,0.412,0.224,PARTIAL SIGNAL
best_val_acc,0.46466666666666673,0.668,0.26,PARTIAL SIGNAL
best_val_epoch,0.318,0.444,0.212,PARTIAL SIGNAL
convergence_speed,0.38400000000000006,0.668,0.132,ONE-CLASS FINGERPRINT
train_val_loss_corr,0.6373333333333333,0.932,0.376,PARTIAL SIGNAL
gradient_norm_mean,0.4526666666666666,0.568,0.296,PARTIAL SIGNAL
gradient_norm_std,0.6426666666666666,0.936,0.268,PARTIAL SIGNAL
class_entropy,0.5833333333333334,0.664,0.24,PARTIAL SIGNAL
dataset_source,0.0,0.0,0.0,USELESS (no separation)
num_params,0.5766666666666667,0.944,0.056,ONE-CLASS FINGERPRINT
